Key,Korean(ko),English(en),Chinese (Simplified)(zh-Hans),Japanese(ja)
GameClear_Stage0_Text0,만물의 기운을<br>머금고 태어났구나.,Born embracing<br>the Qi of all things.,生来便蕴含<br>万物之真气。,万物の気を<br>帯びて生まれたか。
GameClear_Stage0_Text1,떡잎부터<br>남다르구나!,Heaven-defying talent<br>from the start!,果然<br>骨骼清奇！,まさに栴檀は<br>双葉より芳し！
GameClear_Stage0_Text2,기본기가<br>탄탄하군!,Your fundamentals<br>are solid!,基本功<br>很扎实！,基礎が<br>しっかりしておる！
GameClear_Stage0_Text3,재능이<br>엿보이는구나!,Your talent<br>reveals itself!,隐约可见<br>你的天赋！,才能が<br>垣間見えるな！
GameClear_Stage0_Text4,첫발을<br>잘 떼었구나.,You've just crossed<br>the threshold.,总算初窥<br>门径了。,ようやく門を<br>叩いたな。
GameClear_Stage0_Text5,수련은<br>...이제 시작일세.,Your Discipline<br>...has just begun.,你的修炼<br>……才刚刚开始。,修練は<br>…ここからだ。
GameClear_Stage1_Text0,숲의 모든 기운이<br>너를 감싸는구나.,The forest's Qi<br>surrounds you.,林间的真气<br>皆环绕着你。,森のすべての気が<br>そなたを包むな。
GameClear_Stage1_Text1,산의 바람을 타듯<br>유려한 장단이었네.,A flowing cadence<br>like mountain wind.,律动如山风<br>般流畅。,山風のごとき<br>流麗な調べよ。
GameClear_Stage1_Text2,어지러운 숲길에서<br>길을 잘 터내었구나.,You forged a path<br>in the tangled woods.,错综林间，<br>亦能开辟坦途。,迷い深き森で、<br>よくぞ道を拓いた。
GameClear_Stage1_Text3,숲의 우거짐 속에서도<br>방향을 잃지 않았군.,You kept your course<br>in the dense woods.,即便在密林中<br>也未曾迷失方向。,鬱蒼たる森でも、<br>道を違えなかったな
GameClear_Stage1_Text4,울창한 숲 속에서<br>다소 헤매었구나.,You wandered a bit<br>in the deep woods.,在茂密的林间<br>稍稍迷了路啊。,深き森の中で<br>少々迷ったようだな。
GameClear_Stage1_Text5,"길을 잃었을 뿐,<br>...다시 정진해봅세.",You merely strayed.<br>...Let us continue our Discipline.,只是迷了路，<br>……继续精进吧。,道に迷っただけだ。<br>…再び精進しよう。
GameClear_Stage2_Text0,폭포의 기운마저<br>네 기세에 놀라 멎는구나.,Your aura halts<br>the Cascade's Qi.,飞瀑真气，<br>亦被你气势所慑。,滝の気さえ、<br>そなたの気に呑まれたか。
GameClear_Stage2_Text1,폭포의 거센 울림마저<br>벗으로 삼는구나!,You befriended<br>the Cascade's roar!,竟将瀑布的轰鸣<br>视作知音！,清滝の激しい響きすら<br>友とするか！
GameClear_Stage2_Text2,"세찬 물보라 속에서도,<br>고요한 호흡이구나.",Calm breathing<br>amidst heavy spray.,在湍急的水花中，<br>呼吸依然平稳。,激しき飛沫にも、<br>静かな呼吸よ。
